Id2,Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Two races including Some other race,"Two races excluding Some other race, and three or more races"
250251401071,2003,1035,630,74,0,0,197,67,36,31
250251401072,685,331,236,5,0,0,102,11,6,5
250251402011,1026,382,445,0,16,0,171,12,0,12
250251402012,1321,622,318,0,120,0,93,168,0,168
250251402021,1114,527,337,0,128,0,80,42,22,20
250251402022,1589,366,827,0,0,0,386,10,10,0
250251402023,1290,551,330,0,102,0,240,67,2,65
250251402024,1818,1004,587,0,21,0,161,45,5,40
250251402025,714,562,129,0,23,0,0,0,0,0
250251403001,1066,204,516,0,0,0,283,63,15,48
250251403002,1214,501,285,0,0,0,379,49,49,0
250251403003,1928,756,1078,0,0,0,17,77,35,42
250251403004,672,143,475,0,0,0,18,36,36,0
250251403005,1701,410,826,0,33,0,375,57,0,57
250251403006,780,130,479,0,0,0,101,70,0,70
250251404001,408,0,361,21,0,0,26,0,0,0
250251404002,1062,27,890,0,0,0,0,145,0,145
250251404003,1303,92,1088,0,0,0,123,0,0,0
250251404004,515,0,368,0,0,0,135,12,12,0
250251404005,1996,131,1788,0,0,0,38,39,16,23
250251404006,2360,378,1789,0,17,0,0,176,0,176
250251404007,1106,375,177,0,14,0,540,0,0,0
250251601011,2071,1111,26,0,17,0,0,917,23,894
250251601012,2123,1213,49,0,164,0,220,477,16,461
250251601013,1993,891,77,20,0,0,249,756,21,735
250251601014,1933,563,230,26,0,0,282,832,0,832
250251601015,1166,264,0,0,60,0,406,436,0,436
250251602001,1868,425,17,0,61,0,99,1266,138,1128
250251602002,790,204,56,8,93,0,164,265,0,265
250251602003,1699,770,32,0,8,0,38,851,0,851
250251603001,1848,1240,151,0,98,0,105,254,0,254
250251603002,628,306,77,0,0,0,37,208,0,208
250251604001,1435,774,31,0,20,0,188,422,0,422
250251604002,1619,763,254,28,21,0,134,419,0,419
250251605011,2251,737,49,0,52,0,188,1225,0,1225
250251605012,799,526,89,0,0,0,39,145,53,92
250251605013,280,131,0,0,32,0,47,70,0,70
250251605014,967,563,81,0,122,0,26,175,0,175
250251605015,848,466,52,0,0,0,8,322,0,322
250251605021,1740,1258,77,0,64,0,119,222,47,175
250251605022,2055,1192,233,0,17,0,99,514,0,514
250251605023,1037,588,38,0,9,0,141,261,33,228
250251606011,2466,1494,210,0,250,0,112,400,59,341
250251606012,2367,1333,296,0,21,0,157,560,40,520
250251606021,1584,969,206,0,63,0,85,261,9,252
250251606022,645,384,23,0,80,0,152,6,0,6
250251606023,658,431,178,0,21,0,14,14,0,14
250251606024,1257,406,52,0,137,0,138,524,5,519
250251606025,1145,479,199,0,0,0,156,311,0,311
250251701001,1410,1228,72,0,0,0,0,110,0,110
250251701002,1510,1069,140,0,0,0,301,0,0,0
250251701003,778,629,33,0,0,0,19,97,0,97
250251701004,636,578,42,0,16,0,0,0,0,0
250251701005,1222,1021,69,0,16,0,77,39,19,20
250251701006,726,587,33,0,50,0,0,56,0,56
250251701007,1189,921,39,0,0,0,188,41,41,0
250251702001,963,862,0,0,0,0,87,14,0,14
250251702002,2281,1462,247,0,42,0,470,60,47,13
250251702003,776,569,67,0,0,0,0,140,0,140
250251702004,1302,1251,51,0,0,0,0,0,0,0
250251703001,1666,1062,108,0,442,0,18,36,21,15
250251703002,816,629,161,0,7,0,0,19,0,19
250251703003,802,649,142,0,11,0,0,0,0,0
250251703004,1799,1472,54,0,40,0,0,233,188,45
250251703005,1519,1227,0,0,204,0,65,23,23,0
250251703006,1523,1407,35,0,0,0,43,38,0,38
250251703007,681,681,0,0,0,0,0,0,0,0
250251704001,1358,973,222,0,0,0,38,125,0,125
250251704002,1331,778,129,0,32,0,300,92,0,92
250251704003,1354,1051,20,0,35,0,85,163,0,163
250251704004,2441,1779,431,0,140,0,91,0,0,0
250251705011,2222,1637,94,0,181,0,236,74,0,74
250251705012,1318,923,0,50,32,0,208,105,33,72
250251705021,1015,816,0,0,143,0,0,56,0,56
250251705022,1637,1313,48,0,131,0,0,145,12,133
250251706011,1396,1229,66,0,20,0,48,33,0,33
250251706012,1658,1304,0,12,64,0,160,118,7,111
250251706013,1182,962,85,0,10,0,97,28,7,21
250251706014,1335,1056,51,23,0,0,68,137,0,137
250251707011,738,650,31,0,8,0,39,10,0,10
250251707012,1330,1027,2,0,56,0,184,61,2,59
250251707021,896,636,238,0,0,0,0,22,22,0
250251707022,999,659,54,0,286,0,0,0,0,0
250251707023,1606,1019,111,0,435,0,41,0,0,0
250251707024,1251,844,93,0,268,0,46,0,0,0
250251707025,1292,1008,127,0,0,0,67,90,15,75
250251708001,1976,1571,0,74,58,0,223,50,16,34
250251708002,1161,982,44,0,51,0,18,66,0,66
250251708003,1211,1035,57,0,1,0,60,58,0,58
250251708004,1546,938,128,0,17,0,463,0,0,0
250251801011,1350,1350,0,0,0,0,0,0,0,0
250251801012,1248,1188,0,0,22,0,0,38,0,38
250251801013,2403,2093,176,0,0,0,90,44,19,25
250251802001,1183,985,13,0,24,0,118,43,0,43
250251802002,641,640,0,0,1,0,0,0,0,0
250251802003,807,750,11,0,0,0,0,46,0,46
250251802004,1422,1266,71,0,35,0,9,41,0,41
250251803011,569,569,0,0,0,0,0,0,0,0
250251803012,977,954,0,0,0,0,23,0,0,0
250251803013,734,725,3,0,3,0,0,3,0,3
250251803014,793,793,0,0,0,0,0,0,0,0
250251804001,964,844,44,0,13,0,17,46,8,38
250251804002,1086,977,0,0,13,0,0,96,0,96
250251805001,1536,1531,0,0,0,0,0,5,0,5
250251805002,625,618,7,0,0,0,0,0,0,0
250251805003,1035,975,23,0,17,0,20,0,0,0
250251805004,1018,991,0,0,14,0,0,13,0,13
250259801011,322,174,98,0,0,0,5,45,0,45
250259803001,365,181,113,12,28,0,31,0,0,0
250259807001,8,8,0,0,0,0,0,0,0,0
250259810001,0,0,0,0,0,0,0,0,0,0
250259811001,0,0,0,0,0,0,0,0,0,0
250259811002,0,0,0,0,0,0,0,0,0,0
250259811003,0,0,0,0,0,0,0,0,0,0
250259811004,409,132,225,0,0,0,41,11,0,11
250259812011,0,0,0,0,0,0,0,0,0,0
250259812021,224,158,36,0,23,0,0,7,0,7
250259813001,0,0,0,0,0,0,0,0,0,0
250259813002,426,336,16,0,19,0,0,55,0,55
250259815011,0,0,0,0,0,0,0,0,0,0
250259815021,12,0,12,0,0,0,0,0,0,0
250259816001,0,0,0,0,0,0,0,0,0,0
250259817001,0,0,0,0,0,0,0,0,0,0
250259818001,22,22,0,0,0,0,0,0,0,0
250259901010,71,52,19,0,0,0,0,0,0,0
