Id2,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
250250921012,996,175,0,0,0,0,0,0,47,0,0,4,0,105,50,11,322,16,32,101,11,69,26,0,27
250250921013,697,0,0,0,0,0,0,0,0,0,0,0,0,35,0,18,106,12,14,129,123,180,80,0,0
250250921014,708,11,0,0,0,0,19,19,0,0,0,0,3,3,0,0,231,0,15,335,50,12,0,10,0
250250921015,2246,52,0,0,0,24,0,28,41,49,0,25,95,127,123,34,851,62,36,126,104,275,194,0,0
250250922001,878,26,0,0,0,0,0,0,39,12,0,30,31,23,10,0,268,0,0,54,107,148,92,24,14
250250922002,508,0,0,0,0,0,0,0,0,0,0,0,53,0,6,0,139,12,9,62,48,107,55,8,9
250250922003,631,22,0,0,0,0,19,0,0,0,0,1,0,10,0,0,175,0,1,122,28,172,69,0,12
250250922004,350,10,0,0,0,0,0,0,10,0,0,0,0,30,0,0,57,0,24,85,0,42,51,41,0
250250923001,592,26,0,0,0,0,0,0,5,17,24,13,2,6,15,12,215,36,18,98,51,54,0,0,0
250250923002,415,0,0,0,0,0,13,0,0,6,0,10,0,21,49,0,80,16,9,96,27,74,14,0,0
250250923003,884,30,0,0,0,0,0,0,30,47,10,14,0,18,36,51,277,0,18,113,109,110,21,0,0
250250923004,360,14,0,0,0,0,14,0,0,13,18,0,32,18,15,0,101,12,19,13,27,45,19,0,0
250250924001,396,33,0,0,0,0,0,0,0,0,0,23,20,31,23,23,71,29,0,42,74,17,10,0,0
250250924002,689,0,0,0,0,0,0,0,0,0,0,17,0,57,0,26,196,22,17,122,53,165,14,0,0
250250924003,1102,60,0,0,0,0,0,0,0,16,0,43,29,21,16,39,416,70,35,199,58,73,27,0,0
250250924004,636,15,0,0,0,0,36,0,20,0,29,17,33,0,15,57,199,0,11,92,30,65,17,0,0
250250924005,584,0,0,0,0,0,0,6,0,0,0,30,0,25,39,17,253,54,0,76,34,44,6,0,0
250251001001,319,0,0,0,0,0,0,0,0,0,0,39,40,13,0,11,18,2,18,39,80,52,7,0,0
250251001002,886,0,0,0,0,0,0,0,31,0,0,0,0,0,8,0,295,65,41,234,105,107,0,0,0
250251001003,818,83,0,0,0,0,0,8,0,13,14,67,0,0,35,9,286,40,23,123,22,95,0,0,0
250251001004,534,0,0,0,16,0,0,0,0,44,0,10,0,0,10,8,261,26,17,39,42,51,10,0,0
250251001005,217,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,52,31,0,60,21,13,22,0,0
250251001006,793,0,0,0,0,8,0,0,31,0,22,36,51,55,59,36,222,23,31,175,26,10,8,0,0
250251001007,437,0,0,0,0,0,0,14,15,0,0,32,10,0,16,0,149,55,29,19,22,76,0,0,0
250251002001,747,0,0,0,0,11,17,12,0,19,5,0,61,24,15,20,208,40,51,158,18,55,29,4,0
250251002002,243,13,0,0,0,0,0,0,0,0,0,14,0,22,24,18,71,27,0,29,15,0,0,10,0
250251002003,860,38,0,0,0,0,1,0,0,12,6,30,13,10,39,23,215,86,28,189,35,123,12,0,0
250251003001,921,47,0,0,0,0,0,0,0,16,0,0,12,0,16,20,168,100,44,259,105,92,42,0,0
250251003002,732,18,0,0,0,0,0,0,0,0,12,11,0,0,0,0,301,16,29,144,71,95,35,0,0
250251003003,455,8,0,0,0,0,0,0,0,0,0,53,0,0,24,0,79,38,7,105,42,53,46,0,0
250251003004,531,0,0,0,0,0,0,0,0,0,0,20,16,16,0,74,138,34,25,38,84,12,60,14,0
250251004001,1043,26,0,0,0,0,25,0,0,40,8,70,8,36,19,49,290,28,32,26,130,119,137,0,0
250251004002,924,16,0,0,0,0,0,0,0,69,48,9,0,12,9,10,415,0,15,124,95,49,42,11,0
250251004003,641,26,0,0,0,0,0,26,10,0,19,0,0,0,51,0,196,45,52,16,125,48,12,15,0
250251004004,1149,34,0,0,21,0,0,3,0,0,38,9,12,4,19,57,304,97,77,231,52,163,28,0,0
250251005001,820,31,0,0,0,0,0,0,36,0,10,6,11,0,45,25,200,15,14,166,1,238,22,0,0
250251005002,992,0,0,0,0,0,0,0,17,0,0,0,0,38,24,1,271,70,42,132,1,130,232,34,0
250251005003,735,12,0,0,0,0,0,0,0,0,0,67,0,38,0,0,229,26,14,124,108,70,32,0,15
250251005004,1181,0,0,0,0,0,0,33,0,0,59,0,41,183,109,39,282,16,89,214,30,86,0,0,0
250251005005,1136,0,0,0,0,0,0,0,0,44,0,46,63,36,0,44,302,80,63,265,104,89,0,0,0
250251006011,868,142,0,0,0,0,18,0,0,0,0,0,0,12,0,44,202,0,44,35,125,146,99,0,1
250251006012,685,20,0,0,0,0,0,0,0,0,0,0,0,21,12,0,170,0,0,146,45,202,29,40,0
250251006013,1521,21,0,0,0,0,0,0,0,64,13,0,0,20,24,37,640,40,66,158,15,294,111,0,18
250251006014,1529,28,0,16,0,0,0,0,73,42,0,0,12,24,18,32,268,78,37,311,67,336,167,20,0
250251006031,1080,15,0,0,0,0,0,24,0,0,6,13,15,8,0,15,283,33,30,145,20,335,126,12,0
250251006032,584,9,0,6,0,0,0,0,0,0,0,0,0,2,2,7,172,26,36,56,28,173,55,7,5
250251007001,609,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,11,97,9,218,86,27,10
250251007002,889,8,0,0,0,0,55,0,0,0,61,39,0,9,44,30,338,34,23,41,39,139,28,1,0
250251007003,552,0,9,0,0,0,0,0,0,0,0,0,0,9,2,36,117,1,9,55,21,260,33,0,0
250251007004,635,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,28,43,43,50,195,26,0,0
250251007005,533,9,0,0,0,0,0,0,0,0,0,0,9,0,0,49,106,0,0,87,24,113,99,17,20
250251008001,564,14,0,0,0,0,0,0,0,0,0,0,0,0,0,66,90,0,0,13,0,260,121,0,0
250251008002,759,42,0,0,0,0,0,0,0,0,0,0,0,0,61,0,283,0,0,73,25,158,104,13,0
250251008003,664,0,0,0,0,0,0,0,14,0,0,0,14,0,0,44,90,15,50,57,18,161,168,33,0
250251008004,1369,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,238,88,0,62,78,614,226,0,28
250251008005,712,0,0,0,0,0,0,0,0,0,0,38,19,19,0,0,118,0,77,36,56,152,166,31,0
250251008006,906,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,130,22,119,154,117,227,78,9,36
250251009001,495,13,0,0,0,0,0,0,0,1,0,0,0,12,0,14,128,3,24,99,75,65,37,24,0
250251009002,436,12,0,0,0,0,0,0,25,0,0,0,9,26,11,0,149,8,21,80,0,81,1,13,0
250251009003,748,20,0,0,0,0,0,0,0,0,8,0,0,0,12,0,166,0,22,127,18,198,136,41,0
250251009004,508,9,0,0,0,0,0,0,0,0,13,8,0,10,0,0,89,38,25,180,21,56,59,0,0
250251009005,814,0,0,0,0,0,0,0,9,0,32,0,21,9,31,19,211,0,27,124,73,188,70,0,0
250251010011,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,72,29,100,17,0,0
250251010012,456,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,98,17,18,36,83,139,0,0,16
250251010013,502,58,0,0,0,0,0,0,16,0,0,0,0,0,0,17,244,21,28,39,63,16,0,0,0
250251010014,1190,0,0,0,0,0,0,68,0,0,0,0,0,28,71,13,400,49,0,358,73,71,59,0,0
250251010015,610,0,0,0,0,0,0,0,24,0,28,0,0,17,28,15,157,133,20,49,42,53,44,0,0
250251010016,1388,0,0,0,0,0,0,0,0,0,107,0,0,0,0,63,381,228,73,380,57,83,16,0,0
250251010021,493,0,0,0,0,0,0,0,0,11,0,18,0,0,20,87,152,0,0,73,42,74,16,0,0
250251010022,1856,56,0,0,0,0,0,0,0,0,16,15,76,49,36,57,495,96,131,267,272,247,23,20,0
250251010023,1703,34,0,0,0,16,0,0,9,0,26,51,0,106,22,34,537,41,57,299,249,96,110,0,16
250251011011,702,47,0,0,0,0,0,0,0,25,46,26,98,32,17,0,104,49,0,104,39,44,71,0,0
250251011012,877,0,0,0,0,0,0,12,10,21,0,21,10,0,29,24,265,52,21,214,81,65,52,0,0
250251011013,1000,41,0,0,0,0,0,0,0,0,27,36,55,32,0,16,417,32,20,138,37,113,36,0,0
250251011021,573,27,0,0,0,0,0,0,0,23,0,0,26,14,6,18,218,0,44,142,0,36,19,0,0
250251011022,1087,24,0,0,0,0,0,0,0,44,29,0,0,67,53,57,322,33,79,141,121,89,28,0,0
250251011023,690,14,0,0,0,0,0,0,0,17,0,0,0,41,21,40,191,18,82,164,39,50,13,0,0
250251011024,928,21,0,0,0,26,15,0,24,69,5,17,0,12,54,5,307,0,28,142,82,26,84,11,0
250251101031,713,6,0,0,0,0,0,0,0,0,0,17,0,0,0,0,7,39,0,146,77,348,40,10,23
250251101032,442,0,0,0,0,0,0,0,0,0,0,0,11,0,31,0,119,0,0,106,0,64,81,0,30
250251101033,179,0,0,0,0,0,0,0,35,0,0,16,0,0,0,0,76,16,0,0,14,22,0,0,0
250251101034,569,34,0,0,0,47,2,0,26,0,0,0,0,0,2,97,111,0,5,87,0,52,106,0,0
250251101035,1442,0,0,0,0,0,0,0,9,10,0,39,10,0,0,11,417,68,0,67,99,244,410,24,34
250251101036,713,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,117,26,0,59,32,156,272,0,44
250251101037,606,0,0,0,0,0,0,0,0,0,0,10,0,0,44,9,165,10,0,144,0,174,50,0,0
250251102011,1702,30,0,0,19,0,0,20,0,56,0,11,49,28,21,54,447,74,62,237,149,316,117,12,0
250251103011,942,0,0,0,0,0,0,0,11,0,0,0,6,7,34,23,246,22,26,188,105,146,110,13,5
250251103012,999,7,0,0,0,0,9,0,0,0,0,0,5,0,7,23,138,151,38,63,62,240,228,5,23
250251104011,1062,24,0,0,0,0,0,0,23,37,14,59,12,6,48,23,192,51,80,97,62,196,129,0,9
250251104012,1705,32,0,0,0,0,0,0,71,0,0,0,13,9,0,20,294,81,62,405,70,375,175,27,71
250251104031,846,66,0,0,0,0,0,0,0,0,0,27,40,0,0,7,181,21,69,61,59,200,96,0,19
250251104032,718,22,0,0,0,0,0,0,12,31,0,0,0,0,22,29,178,25,25,45,42,151,104,21,11
250251104033,332,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,98,0,14,17,9,54,94,6,24
250251104034,639,0,0,0,0,0,0,0,0,25,0,0,0,0,25,38,69,0,30,99,23,113,137,32,48
250251104035,613,13,0,0,0,0,0,0,0,0,0,9,0,0,9,13,154,31,20,39,69,126,67,63,0
250251105011,822,9,0,0,0,0,0,2,0,8,0,0,2,0,0,0,292,0,72,104,120,147,22,38,6
250251105012,1088,0,0,0,0,0,0,0,0,14,0,14,17,0,0,15,103,14,36,91,48,401,209,72,54
250251105013,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,157,0,37,14,21,389,131,28,0
250251105021,1338,0,0,0,0,0,0,0,9,0,0,0,0,0,42,10,384,66,21,177,53,290,244,17,25
250251105022,1720,26,0,0,0,35,0,12,0,0,0,12,0,24,5,85,262,50,112,183,39,388,379,36,72
250251105023,426,0,0,0,0,0,0,0,0,11,10,13,0,10,0,0,89,23,10,47,7,129,70,7,0
250251106011,1554,26,0,0,0,0,0,0,10,0,7,15,4,0,0,13,307,10,47,93,100,434,309,140,39
250251106012,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9,67,33,27,261,230,72,41
250251106071,696,0,0,0,0,0,0,15,0,34,0,0,0,0,0,0,77,16,0,30,48,124,271,51,30
250251106072,1184,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,194,61,68,102,48,358,236,87,0
250251106073,1505,2,0,0,0,0,0,17,0,0,16,15,2,0,0,0,201,49,51,110,133,435,303,101,70
250251106074,848,15,0,0,0,0,0,0,0,7,0,0,7,0,30,31,126,29,0,125,0,207,209,29,33
250251201031,1257,9,0,0,0,0,0,6,0,0,0,7,0,0,6,0,50,6,24,18,0,289,465,234,143
250251201041,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,142,105,29
250251201042,617,30,0,0,0,0,15,0,0,0,0,0,0,0,0,14,107,0,50,48,41,81,129,37,65
250251201043,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,7,42,44,183,170,166,60
250251201051,595,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,38,1,8,55,4,194,226,36,24
250251201052,822,0,0,0,0,0,0,0,8,8,0,0,0,0,0,12,138,0,9,56,6,233,167,109,76
250251201053,465,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,50,5,17,29,13,119,106,81,40
250251202011,1085,0,0,0,0,0,0,0,8,15,0,8,12,20,0,0,74,1,16,88,72,400,263,60,48
250251202012,1534,39,0,0,0,8,0,0,0,7,0,35,19,8,30,19,223,141,43,109,19,449,257,61,67
250251202013,368,15,0,0,0,0,0,0,0,12,0,0,0,0,9,0,51,20,0,14,17,104,107,8,11
250251203011,1092,11,0,0,0,12,28,0,28,0,0,0,0,0,0,29,178,11,8,29,36,384,308,21,9
250251203012,735,10,0,0,0,0,14,0,0,60,0,0,0,10,0,41,83,63,23,61,32,199,80,48,11
250251203013,1125,10,0,0,0,0,0,0,39,15,12,15,5,5,15,18,185,17,34,164,22,259,172,79,59
250251203014,1062,0,0,0,0,0,0,0,0,0,0,11,0,18,0,22,54,0,103,81,27,403,217,101,25
