Id2,Total,"Car, truck, or van",Public transportation (excluding taxicab),Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
2.5025E+11,931,158,187,0,0,34,525,0,27
2.5025E+11,992,245,218,15,0,10,435,0,69
2.5025E+11,1003,87,388,0,0,0,506,0,22
2.5025E+11,998,86,218,0,0,67,562,0,65
2.5025E+11,930,134,153,13,0,39,538,0,53
2.5025E+11,34,12,0,0,0,0,22,0,0
2.5025E+11,1428,271,330,14,0,14,759,9,31
2.5025E+11,789,170,131,14,0,8,422,13,31
2.5025E+11,705,112,187,0,0,21,357,19,9
2.5025E+11,404,98,95,0,0,20,123,40,28
2.5025E+11,721,290,110,0,0,18,276,0,27
2.5025E+11,1112,274,238,11,0,9,548,32,0
2.5025E+11,634,124,135,0,0,0,320,0,55
2.5025E+11,1281,189,330,0,0,3,729,0,30
2.5025E+11,1270,219,186,0,0,12,636,62,155
2.5025E+11,758,44,191,0,0,49,430,0,44
2.5025E+11,650,74,145,9,0,12,358,0,52
2.5025E+11,580,138,111,0,0,0,290,0,41
2.5025E+11,1081,250,365,10,0,32,418,0,6
2.5025E+11,1000,140,283,0,0,36,510,0,31
2.5025E+11,387,131,10,0,0,0,190,0,56
2.5025E+11,817,171,178,0,0,0,437,19,12
2.5025E+11,718,180,111,10,0,32,361,9,15
2.5025E+11,647,301,71,0,0,25,156,0,94
2.5025E+11,1056,649,89,0,0,44,225,0,49
2.5025E+11,268,80,136,0,0,0,15,0,37
2.5025E+11,552,340,101,0,0,0,101,0,10
2.5025E+11,262,86,176,0,0,0,0,0,0
2.5025E+11,934,404,251,0,10,39,173,10,47
2.5025E+11,424,228,137,0,0,0,29,0,30
2.5025E+11,553,304,107,0,0,59,53,0,30
2.5025E+11,464,221,137,0,0,28,53,0,25
2.5025E+11,1079,452,397,65,0,6,141,8,10
2.5025E+11,427,222,131,0,0,0,45,0,29
2.5025E+11,890,496,325,0,0,15,37,0,17
2.5025E+11,1409,833,299,0,0,23,185,8,61
2.5025E+11,325,132,129,0,0,0,64,0,0
2.5025E+11,339,97,139,0,0,44,26,33,0
2.5025E+11,1585,777,408,13,0,44,209,27,107
2.50251E+11,883,417,435,0,0,0,31,0,0
2.50251E+11,550,337,187,0,0,0,26,0,0
2.50251E+11,1050,358,565,0,0,0,67,0,60
2.50251E+11,1216,455,578,0,0,0,129,0,54
2.50251E+11,682,223,365,0,0,0,66,28,0
2.50251E+11,611,159,342,21,0,0,63,12,14
2.50251E+11,873,166,707,0,0,0,0,0,0
2.50251E+11,399,128,202,0,0,0,43,6,20
2.50251E+11,337,123,201,0,0,0,11,0,2
2.50251E+11,423,113,305,0,0,0,0,0,5
2.50251E+11,1306,345,835,0,0,0,96,0,30
2.50251E+11,1480,394,942,0,0,27,94,0,23
2.50251E+11,780,216,490,0,0,0,57,17,0
2.50251E+11,836,268,519,0,0,0,49,0,0
2.50251E+11,1494,261,1130,0,0,0,84,0,19
2.50251E+11,872,100,669,0,0,0,26,22,55
2.50251E+11,765,123,556,0,0,0,35,8,43
2.50251E+11,980,279,642,0,0,0,39,0,20
2.50251E+11,1048,357,603,0,0,0,62,0,26
2.50251E+11,542,195,313,0,0,0,22,0,12
2.50251E+11,1190,689,454,0,0,0,47,0,0
2.50251E+11,472,206,222,26,0,0,18,0,0
2.50251E+11,622,272,309,0,0,0,0,0,41
2.50251E+11,1447,660,597,67,0,0,123,0,0
2.50251E+11,891,551,319,21,0,0,0,0,0
2.50251E+11,1049,269,767,13,0,0,0,0,0
2.50251E+11,601,256,345,0,0,0,0,0,0
2.50251E+11,148,36,102,0,0,0,0,0,10
2.50251E+11,932,271,586,35,0,0,39,0,1
2.50251E+11,577,301,218,0,0,0,20,0,38
2.50251E+11,769,546,179,0,0,0,9,26,9
2.50251E+11,467,276,154,0,0,0,16,0,21
2.50251E+11,715,342,247,0,0,20,52,0,54
2.50251E+11,587,259,199,19,0,28,71,0,11
2.50251E+11,688,292,348,0,0,35,13,0,0
2.50251E+11,946,529,327,0,0,0,79,5,6
2.50251E+11,882,397,421,29,0,8,27,0,0
2.50251E+11,495,181,284,0,11,0,19,0,0
2.50251E+11,1115,396,444,0,59,65,132,0,19
2.50251E+11,1087,559,361,0,0,0,167,0,0
2.50251E+11,903,527,341,0,0,18,17,0,0
2.50251E+11,785,346,332,0,0,0,66,0,41
2.50251E+11,696,340,179,0,0,0,52,27,98
2.50251E+11,362,187,109,0,0,0,66,0,0
2.50251E+11,682,268,319,0,0,9,65,21,0
2.50251E+11,933,525,359,5,0,0,22,17,5
2.50251E+11,569,241,202,9,0,9,72,9,27
2.50251E+11,636,253,273,0,0,7,21,38,44
2.50251E+11,419,210,95,37,0,13,0,16,48
2.50251E+11,2518,944,633,41,10,65,709,43,73
2.50251E+11,309,134,116,2,0,6,27,11,13
2.50251E+11,419,123,227,0,0,13,44,0,12
2.50251E+11,512,251,148,0,0,12,36,0,65
2.50251E+11,665,290,281,10,0,19,65,0,0
2.50251E+11,758,367,286,29,0,0,30,46,0
2.50251E+11,1392,703,458,16,0,0,202,0,13
2.50251E+11,939,358,426,36,0,0,102,9,8
2.50251E+11,294,154,81,0,0,0,59,0,0
2.50251E+11,202,95,103,0,0,0,4,0,0
2.50251E+11,212,122,82,0,0,0,8,0,0
2.50251E+11,462,185,173,0,0,0,91,13,0
2.50251E+11,2111,957,600,0,8,63,389,0,94
2.50251E+11,393,45,189,29,17,0,73,29,11
2.50251E+11,829,261,505,0,0,25,38,0,0
2.50251E+11,805,227,114,0,0,15,387,21,41
2.50251E+11,198,47,76,0,0,0,75,0,0
2.50251E+11,428,70,182,0,0,0,148,28,0
2.50251E+11,796,208,173,0,0,0,303,0,112
2.50251E+11,162,90,52,0,0,0,20,0,0
2.50251E+11,365,0,39,0,0,0,311,0,15
2.50251E+11,519,17,167,0,0,0,207,97,31
2.50251E+11,268,76,65,7,0,0,120,0,0
2.50251E+11,473,151,23,0,0,4,271,16,8
2.50251E+11,462,167,42,0,0,4,193,0,56
2.50251E+11,1336,168,206,0,0,37,855,23,47
2.50251E+11,630,290,53,34,0,12,226,0,15
2.50251E+11,685,126,94,0,0,0,465,0,0
2.50251E+11,771,141,337,0,0,59,182,18,34
2.50251E+11,1018,344,185,43,0,0,348,60,38
2.50251E+11,884,363,197,10,0,24,280,10,0
2.50251E+11,1420,517,234,20,0,156,493,0,0
2.50251E+11,128,38,30,0,0,14,46,0,0
2.50251E+11,1160,252,378,52,36,0,417,0,25
2.50251E+11,856,341,353,0,0,17,99,0,46
2.50251E+11,644,255,85,0,0,8,222,0,74
2.50251E+11,950,289,253,48,0,25,283,9,43
2.50251E+11,751,152,320,0,0,8,249,14,8
2.50251E+11,913,292,214,0,0,30,275,53,49
2.50251E+11,1022,146,471,0,52,14,221,118,0
2.50251E+11,683,170,222,0,0,24,248,0,19
2.50251E+11,765,139,269,0,0,0,255,0,102
2.50251E+11,1336,428,422,0,0,194,236,0,56
2.50251E+11,517,111,179,0,0,40,163,0,24
2.50251E+11,918,271,188,0,0,141,218,0,100
2.50251E+11,988,229,331,0,0,77,312,0,39
2.50251E+11,237,41,119,0,0,0,39,0,38
2.50251E+11,1079,401,189,0,0,44,421,0,24
2.50251E+11,504,225,50,0,0,20,164,0,45
2.50251E+11,590,243,159,0,0,14,174,0,0
2.50251E+11,220,119,92,0,0,0,9,0,0
2.50251E+11,1126,423,451,0,0,24,195,0,33
2.50251E+11,641,265,250,0,0,37,89,0,0
2.50251E+11,503,187,234,0,0,23,59,0,0
2.50251E+11,438,168,234,0,0,0,36,0,0
2.50251E+11,851,395,335,0,0,0,109,0,12
2.50251E+11,1075,215,376,0,0,13,445,0,26
2.50251E+11,198,35,131,0,0,0,29,0,3
2.50251E+11,137,92,33,7,0,0,5,0,0
2.50251E+11,920,117,258,22,0,0,518,0,5
2.50251E+11,889,230,281,7,0,0,323,0,48
2.50251E+11,645,141,167,0,0,9,328,0,0
2.50251E+11,900,222,328,0,0,89,174,0,87
2.50251E+11,524,141,144,0,0,19,216,0,4
2.50251E+11,294,70,119,0,0,0,104,1,0
2.50251E+11,905,363,373,0,0,31,138,0,0
2.50251E+11,530,230,108,0,0,0,192,0,0
2.50251E+11,474,54,359,0,0,0,61,0,0
2.50251E+11,642,224,203,0,0,55,108,0,52
2.50251E+11,800,238,297,0,0,39,183,0,43
2.50251E+11,570,217,248,0,0,12,46,0,47
2.50251E+11,639,203,327,12,0,0,87,0,10
2.50251E+11,830,328,276,0,0,94,113,0,19
2.50251E+11,493,176,256,0,0,0,61,0,0
2.50251E+11,950,287,622,0,0,0,18,6,17
2.50251E+11,834,398,373,0,0,21,25,0,17
2.50251E+11,438,152,172,0,0,16,83,0,15
2.50251E+11,417,184,121,0,0,0,104,8,0
2.50251E+11,825,316,310,19,0,15,133,0,32
2.50251E+11,462,147,237,0,0,6,65,0,7
2.50251E+11,639,384,202,0,0,0,41,12,0
2.50251E+11,179,100,53,0,0,0,16,0,10
2.50251E+11,296,217,79,0,0,0,0,0,0
2.50251E+11,270,177,66,0,0,0,0,0,27
2.50251E+11,334,74,187,0,0,0,64,9,0
2.50251E+11,404,195,174,0,0,0,35,0,0
2.50251E+11,351,165,156,5,0,0,25,0,0
2.50251E+11,650,334,261,0,0,23,15,0,17
2.50251E+11,339,136,123,0,0,0,80,0,0
2.50251E+11,633,217,306,0,0,29,64,0,17
2.50251E+11,265,144,99,0,0,0,22,0,0
2.50251E+11,289,101,161,0,0,0,3,24,0
2.50251E+11,419,89,292,0,0,0,38,0,0
2.50251E+11,572,380,168,0,0,0,24,0,0
2.50251E+11,233,168,65,0,0,0,0,0,0
2.50251E+11,370,263,107,0,0,0,0,0,0
2.50251E+11,232,47,162,0,0,0,23,0,0
2.50251E+11,714,283,380,0,0,0,51,0,0
2.50251E+11,1187,681,377,0,0,0,64,48,17
2.50251E+11,523,267,246,0,0,0,0,0,10
2.50251E+11,340,180,118,0,0,0,26,0,16
2.50251E+11,316,89,206,0,0,0,21,0,0
2.50251E+11,484,282,182,0,0,0,20,0,0
2.50251E+11,267,177,90,0,0,0,0,0,0
2.50251E+11,283,126,139,0,0,0,18,0,0
2.50251E+11,288,119,162,0,0,0,7,0,0
2.50251E+11,337,137,146,0,0,25,11,18,0
2.50251E+11,410,178,226,0,0,0,6,0,0
2.50251E+11,642,253,347,0,0,0,12,0,30
2.50251E+11,250,173,60,0,0,0,17,0,0
2.50251E+11,167,98,50,0,0,0,19,0,0
2.50251E+11,1074,443,484,0,0,62,48,37,0
2.50251E+11,357,241,82,0,0,0,34,0,0
2.50251E+11,497,333,85,21,0,0,58,0,0
2.50251E+11,553,309,170,0,0,7,67,0,0
2.50251E+11,664,271,341,0,0,0,11,20,21
2.50251E+11,686,188,312,0,0,0,186,0,0
2.50251E+11,748,383,304,0,0,0,24,0,37
2.50251E+11,707,373,308,0,0,0,0,0,26
2.50251E+11,387,170,162,0,0,29,26,0,0
2.50251E+11,787,330,227,8,0,0,167,41,14
2.50251E+11,882,389,351,0,0,6,96,24,16
2.50251E+11,477,358,95,0,0,0,16,0,8
2.50251E+11,517,367,105,0,0,0,33,0,12
2.50251E+11,392,223,131,0,0,0,38,0,0
2.50251E+11,579,251,294,0,0,0,12,8,14
2.50251E+11,1040,623,368,0,0,0,30,19,0
2.50251E+11,604,364,223,0,0,0,17,0,0
2.50251E+11,469,261,159,0,0,36,0,4,9
2.50251E+11,472,280,102,0,0,10,57,0,23
2.50251E+11,363,261,47,0,0,0,55,0,0
2.50251E+11,691,486,139,0,0,0,13,22,31
2.50251E+11,544,246,228,27,0,11,14,0,18
2.50251E+11,332,217,97,0,0,9,0,0,9
2.50251E+11,582,351,189,0,0,0,30,8,4
2.50251E+11,653,290,310,0,0,0,53,0,0
2.50251E+11,904,433,420,0,0,0,29,22,0
2.50251E+11,499,287,155,0,0,0,31,6,20
2.50251E+11,1108,672,390,0,18,0,28,0,0
2.50251E+11,943,461,392,0,0,24,66,0,0
2.50251E+11,558,228,291,0,0,20,19,0,0
2.50251E+11,935,558,352,0,0,14,11,0,0
2.50251E+11,565,296,226,0,0,0,43,0,0
2.50251E+11,131,36,75,0,0,9,11,0,0
2.50251E+11,649,287,333,0,0,4,17,3,5
2.50251E+11,547,276,238,0,0,0,20,13,0
2.50251E+11,285,102,168,0,0,0,10,0,5
2.50251E+11,448,286,133,0,0,0,14,0,15
2.50251E+11,727,349,310,42,0,0,0,26,0
2.50251E+11,329,173,126,0,0,0,30,0,0
2.50251E+11,539,313,149,24,0,0,40,0,13
2.50251E+11,360,217,143,0,0,0,0,0,0
2.50251E+11,681,388,205,0,0,0,0,0,88
2.50251E+11,294,186,99,0,0,0,9,0,0
2.50251E+11,775,364,374,0,0,37,0,0,0
2.50251E+11,724,446,240,0,0,0,17,5,16
2.50251E+11,326,133,148,0,0,0,45,0,0
2.50251E+11,570,337,210,0,0,0,23,0,0
2.50251E+11,398,255,143,0,0,0,0,0,0
2.50251E+11,513,209,169,0,0,28,32,75,0
2.50251E+11,624,466,158,0,0,0,0,0,0
2.50251E+11,619,284,121,0,0,0,214,0,0
2.50251E+11,1621,894,620,0,0,33,74,0,0
2.50251E+11,601,319,242,0,0,14,7,0,19
2.50251E+11,437,265,143,0,0,0,21,0,8
2.50251E+11,460,236,208,0,0,0,8,0,8
2.50251E+11,201,79,77,0,0,0,8,0,37
2.50251E+11,377,235,112,0,0,0,17,0,13
2.50251E+11,290,151,119,0,0,0,20,0,0
2.50251E+11,617,314,277,0,0,0,18,8,0
2.50251E+11,280,156,57,0,0,0,12,32,23
2.50251E+11,258,52,189,0,0,17,0,0,0
2.50251E+11,406,179,60,0,0,0,56,94,17
2.50251E+11,827,432,373,0,0,0,0,22,0
2.50251E+11,421,208,213,0,0,0,0,0,0
2.50251E+11,200,90,110,0,0,0,0,0,0
2.50251E+11,173,104,47,0,0,0,0,0,22
2.50251E+11,791,555,221,0,0,0,15,0,0
2.50251E+11,619,340,244,0,0,0,0,0,35
2.50251E+11,345,218,106,0,0,0,21,0,0
2.50251E+11,172,117,55,0,0,0,0,0,0
2.50251E+11,454,233,182,0,0,0,29,0,10
2.50251E+11,240,137,79,0,0,0,0,8,16
2.50251E+11,532,326,139,0,0,33,4,7,23
2.50251E+11,237,113,109,0,0,0,0,0,15
2.50251E+11,519,300,160,0,0,0,24,26,9
2.50251E+11,787,492,253,0,0,0,6,36,0
2.50251E+11,471,310,125,0,0,0,28,8,0
2.50251E+11,284,217,67,0,0,0,0,0,0
2.50251E+11,425,220,205,0,0,0,0,0,0
2.50251E+11,742,320,376,46,0,0,0,0,0
2.50251E+11,680,332,348,0,0,0,0,0,0
2.50251E+11,478,159,319,0,0,0,0,0,0
2.50251E+11,922,221,463,41,0,0,108,39,50
2.50251E+11,534,183,335,0,0,0,4,12,0
2.50251E+11,798,279,423,0,0,0,40,0,56
2.50251E+11,500,314,169,0,0,0,0,0,17
2.50251E+11,917,444,405,0,0,0,57,11,0
2.50251E+11,684,427,242,0,0,0,15,0,0
2.50251E+11,522,309,163,0,0,0,23,12,15
2.50251E+11,585,211,310,0,0,0,0,64,0
2.50251E+11,1080,469,450,0,0,0,161,0,0
2.50251E+11,1183,543,586,13,0,41,0,0,0
2.50251E+11,932,726,124,0,5,26,36,0,15
2.50251E+11,476,402,9,0,0,0,48,11,6
2.50251E+11,500,325,87,0,0,26,23,0,39
2.50251E+11,418,352,35,0,0,0,31,0,0
2.50251E+11,413,341,71,0,0,0,0,0,1
2.50251E+11,560,375,135,0,0,0,28,14,8
2.50251E+11,485,347,110,0,0,0,0,0,28
2.50251E+11,433,339,81,0,0,0,0,0,13
2.50251E+11,362,247,90,0,13,0,0,0,12
2.50251E+11,535,307,183,0,0,0,0,45,0
2.50251E+11,1050,689,350,0,0,0,11,0,0
2.50251E+11,461,390,13,0,0,0,0,0,58
2.50251E+11,874,460,194,0,0,0,171,0,49
2.50251E+11,321,263,58,0,0,0,0,0,0
2.50251E+11,446,200,190,0,0,0,35,0,21
2.50251E+11,560,416,116,0,0,0,10,9,9
2.50251E+11,353,226,93,0,0,0,34,0,0
2.50251E+11,552,404,148,0,0,0,0,0,0
2.50251E+11,241,241,0,0,0,0,0,0,0
2.50251E+11,374,258,116,0,0,0,0,0,0
2.50251E+11,261,82,158,0,0,0,0,21,0
2.50251E+11,744,272,326,22,0,0,0,0,124
2.50251E+11,391,229,147,0,0,0,15,0,0
2.50251E+11,1094,823,271,0,0,0,0,0,0
2.50251E+11,329,235,79,0,0,0,15,0,0
2.50251E+11,1115,650,391,0,0,0,46,14,14
2.50251E+11,1339,684,542,0,0,0,100,0,13
2.50251E+11,420,179,241,0,0,0,0,0,0
2.50251E+11,584,320,256,0,0,0,0,0,8
2.50251E+11,745,483,233,29,0,0,0,0,0
2.50251E+11,409,266,111,0,0,14,10,8,0
2.50251E+11,745,525,187,0,0,0,4,0,29
