tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,year,month
293,2/1/2016 0:00,2/1/2016 0:05,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,657,Subscriber,1990,1,2016,2
409,2/1/2016 0:17,2/1/2016 0:24,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,179,MIT Vassar St,42.35560121,-71.10394478,1294,Subscriber,1989,2,2016,2
322,2/1/2016 0:21,2/1/2016 0:26,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,1239,Customer,1975,1,2016,2
1443,2/1/2016 0:25,2/1/2016 0:49,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,723,Subscriber,\N,0,2016,2
336,2/1/2016 0:28,2/1/2016 0:33,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,1292,Subscriber,1990,1,2016,2
99,2/1/2016 0:48,2/1/2016 0:50,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,909,Subscriber,1988,1,2016,2
157,2/1/2016 0:49,2/1/2016 0:52,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1292,Subscriber,1987,1,2016,2
743,2/1/2016 0:51,2/1/2016 1:04,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,898,Subscriber,\N,0,2016,2
213,2/1/2016 1:05,2/1/2016 1:09,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,1086,Subscriber,1995,1,2016,2
333,2/1/2016 1:36,2/1/2016 1:42,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,1293,Subscriber,1986,1,2016,2
1100,2/1/2016 2:12,2/1/2016 2:30,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,1092,Subscriber,1964,1,2016,2
220,2/1/2016 2:21,2/1/2016 2:25,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,768,Subscriber,1995,2,2016,2
1738,2/1/2016 2:34,2/1/2016 3:03,179,MIT Vassar St,42.35560121,-71.10394478,177,University Park,42.36264779,-71.10006094,1554,Subscriber,\N,0,2016,2
1725,2/1/2016 2:34,2/1/2016 3:03,179,MIT Vassar St,42.35560121,-71.10394478,177,University Park,42.36264779,-71.10006094,1559,Subscriber,\N,0,2016,2
1474,2/1/2016 2:39,2/1/2016 3:03,179,MIT Vassar St,42.35560121,-71.10394478,177,University Park,42.36264779,-71.10006094,1099,Subscriber,\N,0,2016,2
803,2/1/2016 3:07,2/1/2016 3:21,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,1106,Subscriber,1985,1,2016,2
506,2/1/2016 5:02,2/1/2016 5:10,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1108,Subscriber,1968,1,2016,2
1184,2/1/2016 5:54,2/1/2016 6:14,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,143,EF - North Point Park,42.369885,-71.069957,1086,Customer,1970,1,2016,2
216,2/1/2016 6:16,2/1/2016 6:20,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,816,Subscriber,1986,1,2016,2
706,2/1/2016 6:34,2/1/2016 6:45,143,EF - North Point Park,42.369885,-71.069957,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,873,Customer,1960,2,2016,2
493,2/1/2016 6:35,2/1/2016 6:43,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,637,Customer,1961,2,2016,2
