tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,year,month
1027,1/1/2016 2:06,1/1/2016 2:23,150,State Street at Channel Center,42.344137,-71.052608,25,Tremont St / W Newton St,42.341332,-71.076847,639,Subscriber,\N,0,2016,1
850,1/1/2016 2:11,1/1/2016 2:25,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,86,Subscriber,1993,1,2016,1
6542,1/1/2016 2:11,1/1/2016 4:00,36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,866,Subscriber,\N,0,2016,1
72046,1/1/2016 2:27,1/1/2016 22:28,121,West Broadway at Dorchester St,42.335693,-71.045859,100,Davis Square,42.396969,-71.123024,1062,Subscriber,\N,0,2016,1
70135,1/1/2016 2:27,1/1/2016 21:56,121,West Broadway at Dorchester St,42.335693,-71.045859,100,Davis Square,42.396969,-71.123024,1496,Subscriber,\N,0,2016,1
541,1/1/2016 3:21,1/1/2016 3:30,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,835,Subscriber,\N,0,2016,1
223,1/1/2016 6:57,1/1/2016 7:01,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,180,Mt Auburn,42.37478629,-71.13320231,1572,Subscriber,1987,2,2016,1
191,1/1/2016 7:25,1/1/2016 7:28,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,107,Ames St at Main St,42.3625,-71.08822,1495,Subscriber,1976,2,2016,1
194,1/1/2016 7:28,1/1/2016 7:31,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,13,Subscriber,1989,2,2016,1
146,1/1/2016 7:39,1/1/2016 7:42,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,813,Subscriber,1989,2,2016,1
1243,1/1/2016 8:49,1/1/2016 9:09,107,Ames St at Main St,42.3625,-71.08822,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,1495,Customer,1968,2,2016,1
248,1/1/2016 8:50,1/1/2016 8:55,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1270,Subscriber,1987,1,2016,1
297,1/1/2016 8:51,1/1/2016 8:56,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,1562,Customer,1976,2,2016,1
174,1/1/2016 9:27,1/1/2016 9:30,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,107,Ames St at Main St,42.3625,-71.08822,271,Customer,1976,1,2016,1
174,1/1/2016 9:27,1/1/2016 9:30,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,107,Ames St at Main St,42.3625,-71.08822,86,Customer,1967,2,2016,1
150,1/1/2016 9:29,1/1/2016 9:32,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,100,Davis Square,42.396969,-71.123024,322,Customer,1981,1,2016,1
511,1/1/2016 9:39,1/1/2016 9:48,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,171,Bunker Hill Community College,42.37408991,-71.06905997,674,Customer,1982,1,2016,1
443,1/1/2016 9:41,1/1/2016 9:48,143,EF - North Point Park,42.369885,-71.069957,141,Kendall Street,42.36356016,-71.08216792,450,Subscriber,1983,1,2016,1
649,1/1/2016 9:47,1/1/2016 9:57,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,107,Ames St at Main St,42.3625,-71.08822,1194,Customer,1968,2,2016,1
333,1/1/2016 10:08,1/1/2016 10:14,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,1139,Customer,1962,2,2016,1
204,1/1/2016 10:15,1/1/2016 10:18,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,107,Ames St at Main St,42.3625,-71.08822,774,Subscriber,1986,2,2016,1
1020,1/1/2016 10:20,1/1/2016 10:37,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,1215,Subscriber,\N,0,2016,1
1378,1/1/2016 10:20,1/1/2016 10:43,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1086,Customer,1964,1,2016,1
1000,1/1/2016 10:20,1/1/2016 10:37,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,1475,Subscriber,\N,0,2016,1
973,1/1/2016 10:21,1/1/2016 10:37,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,1454,Customer,1986,1,2016,1
978,1/1/2016 10:21,1/1/2016 10:37,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,1085,Customer,1985,2,2016,1
661,1/1/2016 10:39,1/1/2016 10:50,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1215,Subscriber,\N,0,2016,1
643,1/1/2016 10:40,1/1/2016 10:50,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1475,Subscriber,\N,0,2016,1
637,1/1/2016 10:40,1/1/2016 10:50,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1454,Customer,1986,1,2016,1
619,1/1/2016 10:40,1/1/2016 10:50,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1085,Customer,1985,2,2016,1
339,1/1/2016 10:51,1/1/2016 10:57,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1568,Subscriber,1968,2,2016,1
519,1/1/2016 11:09,1/1/2016 11:17,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,107,Ames St at Main St,42.3625,-71.08822,285,Subscriber,1982,1,2016,1
418,1/1/2016 11:25,1/1/2016 11:32,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,642,Subscriber,1965,1,2016,1
947,1/1/2016 11:28,1/1/2016 11:44,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1475,Subscriber,\N,0,2016,1
912,1/1/2016 11:28,1/1/2016 11:44,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1186,Subscriber,\N,0,2016,1
900,1/1/2016 11:29,1/1/2016 11:44,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1085,Customer,1985,2,2016,1
909,1/1/2016 11:29,1/1/2016 11:44,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1454,Customer,1986,1,2016,1
281,1/1/2016 11:31,1/1/2016 11:36,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1002,Subscriber,1978,1,2016,1
276,1/1/2016 11:31,1/1/2016 11:36,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,738,Subscriber,1980,2,2016,1
182,1/1/2016 11:33,1/1/2016 11:36,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,644,Subscriber,1986,1,2016,1
357,1/1/2016 11:37,1/1/2016 11:43,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,948,Customer,1992,1,2016,1
350,1/1/2016 11:47,1/1/2016 11:53,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,107,Ames St at Main St,42.3625,-71.08822,1475,Subscriber,\N,0,2016,1
338,1/1/2016 11:48,1/1/2016 11:53,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,107,Ames St at Main St,42.3625,-71.08822,1488,Subscriber,\N,0,2016,1
304,1/1/2016 11:48,1/1/2016 11:53,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,107,Ames St at Main St,42.3625,-71.08822,1454,Customer,1986,1,2016,1
263,1/1/2016 11:48,1/1/2016 11:53,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,107,Ames St at Main St,42.3625,-71.08822,1069,Customer,1985,2,2016,1
726,1/1/2016 11:59,1/1/2016 12:11,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,156,Subscriber,1988,1,2016,1
165,1/1/2016 12:08,1/1/2016 12:11,179,MIT Vassar St,42.35560121,-71.10394478,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,1122,Subscriber,1984,1,2016,1
396,1/1/2016 12:10,1/1/2016 12:17,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,14,Subscriber,1992,1,2016,1
7368,1/1/2016 12:12,1/1/2016 14:14,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,751,Customer,1954,1,2016,1
584,1/1/2016 12:30,1/1/2016 12:39,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1114,Customer,1989,1,2016,1
303,1/1/2016 12:32,1/1/2016 12:37,179,MIT Vassar St,42.35560121,-71.10394478,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,708,Subscriber,1985,1,2016,1
1491,1/1/2016 12:38,1/1/2016 13:03,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,21,Prudential Center / Belvidere,42.345959,-71.082578,784,Subscriber,1990,2,2016,1
211,1/1/2016 12:40,1/1/2016 12:43,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1100,Customer,1962,1,2016,1
381,1/1/2016 12:41,1/1/2016 12:47,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,107,Ames St at Main St,42.3625,-71.08822,1538,Subscriber,1991,2,2016,1
246,1/1/2016 12:42,1/1/2016 12:46,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1114,Subscriber,1986,1,2016,1
266,1/1/2016 12:42,1/1/2016 12:46,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,620,Subscriber,1980,1,2016,1
282,1/1/2016 13:15,1/1/2016 13:20,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,13,Subscriber,1985,1,2016,1
689,1/1/2016 13:16,1/1/2016 13:27,179,MIT Vassar St,42.35560121,-71.10394478,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,1550,Subscriber,\N,0,2016,1
642,1/1/2016 13:16,1/1/2016 13:27,179,MIT Vassar St,42.35560121,-71.10394478,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,1431,Subscriber,\N,0,2016,1
813,1/1/2016 13:19,1/1/2016 13:33,177,University Park,42.36264779,-71.10006094,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,853,Subscriber,1984,1,2016,1
363,1/1/2016 13:21,1/1/2016 13:27,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,107,Ames St at Main St,42.3625,-71.08822,1281,Subscriber,1992,1,2016,1
790,1/1/2016 13:24,1/1/2016 13:37,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,1122,Subscriber,1984,1,2016,1
1018,1/1/2016 13:29,1/1/2016 13:46,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,179,MIT Vassar St,42.35560121,-71.10394478,1017,Subscriber,\N,0,2016,1
1098,1/1/2016 13:30,1/1/2016 13:48,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,691,Subscriber,1996,1,2016,1
937,1/1/2016 13:30,1/1/2016 13:46,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,179,MIT Vassar St,42.35560121,-71.10394478,14,Subscriber,\N,0,2016,1
220,1/1/2016 13:36,1/1/2016 13:40,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,387,Subscriber,1984,1,2016,1
1469,1/1/2016 13:42,1/1/2016 14:06,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,1104,Customer,1988,2,2016,1
